NCM;categoria;descricao;IPI;uTrib
01041090;ANIMAIS VIVOS;01041090 - OUTROS ANIMAIS DA ESPÉCIES OVINAS;NT;UN
01042010;ANIMAIS VIVOS;01042010 - CAPRINOS REPRODUTORES DE RAÇA PURA;NT;UN
01042090;ANIMAIS VIVOS;01042090 - OUTS.CAPRINOS REPRODUTORES DE RAÇA PURA;NT;UN
01051110;ANIMAIS VIVOS;01051110 - GALO E GALINHA REP.RAÇA PUR/ HIBRI.Ñ SUP.185G;NT;UN
01051190;ANIMAIS VIVOS;01051190 - OUTROS GALOS E GALINHAS NÃO SUPERIOR A 185G;NT;UN
01051200;ANIMAIS VIVOS;01051200 - PERUAS E PERUS, PESO NÃO SUPERIOR A 185G;NT;UN
01051300;ANIMAIS VIVOS;01051300 - PATOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G;NT;UN
01051400;ANIMAIS VIVOS;01051400 - GANSOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G;NT;UN
01051500;ANIMAIS VIVOS;01051500 - GALINHAS D'ANGOLA (PINTADAS) DOMEST.VIVAS D/PESO INF.A;NT;UN
01059400;ANIMAIS VIVOS;01059400 - GALOS E GALINHAS DE PESO Ñ SUPERIOR A 185G;NT;UN
01059900;ANIMAIS VIVOS;01059900 - OUTRAS AVES DAS ESP.DOMÉSTICAS,PESO >185G;NT;UN
01061100;ANIMAIS VIVOS;01061100 - MAMÍFEROS PRIMATAS VIVOS;NT;UN
01061200;ANIMAIS VIVOS;"01061200 - BALEIAS,GOLF.,BOTOS;PEIXES-BOIS,DUDONG;OTÁRIAS,FOCAS,ET";NT;UN
01061300;ANIMAIS VIVOS;01061300 - CAMELOS E OUTROS CAMELÍDIOS VIVOS;NT;UN
01061400;ANIMAIS VIVOS;01061400 - COELHOS E LEBRES VIVOS;NT;UN
01061900;ANIMAIS VIVOS;01061900 - OUTROS MAMÍFEROS VIVOS;NT;UN
01062000;ANIMAIS VIVOS;01062000 - RÉPTEIS,SERPENTES E TARTAR.MARINHAS,VIVOS;NT;UN
01063100;ANIMAIS VIVOS;01063100 - AVES DE RAPINA VIVAS;NT;UN
01063200;ANIMAIS VIVOS;01063200 - PSITACIFORMES(PAP.PER.ARARAS,CACATUAS)VIVO;NT;UN
01063310;ANIMAIS VIVOS;01063310 - AVESTRUZES (STRUTHIO CAMELUS) PARA REPRODUÇÃO;NT;UN
01063390;ANIMAIS VIVOS;01063390 - OUTROS AVESTRUZES VIVOS;NT;UN
01063900;ANIMAIS VIVOS;01063900 - OUTRAS AVES VIVAS;NT;UN
01064100;ANIMAIS VIVOS;01064100 - ABELHAS VIVAS;NT;KG
01064900;ANIMAIS VIVOS;01064900 - OUTROS INSETOS VIVOS;NT;KG
01069000;ANIMAIS VIVOS;01069000 - OUTROS ANIMAIS VIVOS;NT;UN
02011000;CARNES E MIUDEZAS, COMESTÍVEIS;02011000 - CARCAÇAS E MEIAS-CARCS. DE BOV., FRESC.REFR.;0;KG
02012010;CARNES E MIUDEZAS, COMESTÍVEIS;02012010 - QUARTOS DIANT. BOV. Ñ DESOSS. FRESC.OU REFR.;0;KG
02012020;CARNES E MIUDEZAS, COMESTÍVEIS;02012020 - QUARTOS TRAZ.BOV.Ñ DESOSS.FRESC.OU REFRIG.;0;KG
02012090;CARNES E MIUDEZAS, COMESTÍVEIS;02012090 - OUTS CARNES BOV.Ñ DESOSS.FRESC OU REFRIG.;0;KG
02013000;CARNES E MIUDEZAS, COMESTÍVEIS;02013000 - OUTS CARNES BOV. DESOSS.FRESC OU REFRIG.;0;KG
02021000;CARNES E MIUDEZAS, COMESTÍVEIS;02021000 - CARCAÇAS E MEIAS-CARCAÇAS DE BOVINOS,CONG.;0;KG
02022010;CARNES E MIUDEZAS, COMESTÍVEIS;02022010 - QUART.DIANTEIRO DE BOVINO NÃO DESOSS., CONG.;0;KG
02022020;CARNES E MIUDEZAS, COMESTÍVEIS;02022020 - QUART.TRASEIRO DE BOVINO NÃO DESOSS., CONG.;0;KG
02022090;CARNES E MIUDEZAS, COMESTÍVEIS;02022090 - OUTRAS CARNES BOV. NÃO DESOSS.,CONGELADAS;0;KG
02023000;CARNES E MIUDEZAS, COMESTÍVEIS;02023000 - CARNES DE BOVINO DESOSSADAS, CONGELADAS;0;KG
02031100;CARNES E MIUDEZAS, COMESTÍVEIS;02031100 - CARCS E MEIAS-CARCS. DE SUÍNOS, FRESC., REFR.;0;KG
02031200;CARNES E MIUDEZAS, COMESTÍVEIS;02031200 - PERNA E PEDAÇO Ñ DESOS. SUÍNOS, FRESC.,REFR.;0;KG
02031900;CARNES E MIUDEZAS, COMESTÍVEIS;02031900 - OUTRAS CARNES DE SUÍNOS, FRESCAS OU REFRIG.;0;KG
02032100;CARNES E MIUDEZAS, COMESTÍVEIS;02032100 - CARCS. E MEIAS-CARCS. DE SUÍNOS, CONGELADAS;0;KG
02032200;CARNES E MIUDEZAS, COMESTÍVEIS;02032200 - PERNA E PEDAÇO Ñ DESOS. SUÍNOS, CONGELADOS;0;KG
02032900;CARNES E MIUDEZAS, COMESTÍVEIS;02032900 - OUTRAS CARNES DE SUÍNO,CONGELADAS;0;KG
02041000;CARNES E MIUDEZAS, COMESTÍVEIS;02041000 - CARCS.E MEIAS-CARCS D/CORDEIRO,FRESC.,REFR.;0;KG
02042100;CARNES E MIUDEZAS, COMESTÍVEIS;02042100 - CARCS.E MEIAS-CARCS.DE OVINOS,FRESC.REFRIG.;0;KG
02042200;CARNES E MIUDEZAS, COMESTÍVEIS;02042200 - OUTRAS PEÇAS Ñ DESOSS.D/OVINOS,FRESC.REFR.;0;KG
02042300;CARNES E MIUDEZAS, COMESTÍVEIS;02042300 - PÇS DESOSSADAS D/OVINOS,FRESCAS OU REFRIG.;0;KG
02043000;CARNES E MIUDEZAS, COMESTÍVEIS;02043000 - CARCS. E MEIAS-CARCS. DE CORDEIRO,CONG.;0;KG
02044100;CARNES E MIUDEZAS, COMESTÍVEIS;02044100 - CARCS. E MEIAS-CARCS. OUTS.OVINOS,CONG.;0;KG
02044200;CARNES E MIUDEZAS, COMESTÍVEIS;02044200 - OUTS.PÇS NÃO DESOSS.DE OVINOS,CONGELADAS;0;KG
02044300;CARNES E MIUDEZAS, COMESTÍVEIS;02044300 - PEÇAS DESOSSADAS DE OVINOS,CONGELADAS;0;KG
02045000;CARNES E MIUDEZAS, COMESTÍVEIS;02045000 - CARNES DE CAPRINOS,FRESC.,REFRIG.OU CONG.;0;KG
02050000;CARNES E MIUDEZAS, COMESTÍVEIS;02050000 - CARNE CAVALO,ASININA,MUAR,FRESC.REF.,CONG.;0;KG
02061000;CARNES E MIUDEZAS, COMESTÍVEIS;02061000 - MIUDEZAS DE BOVINOS,FRESCAS/REFRIGERADAS;0;KG
02062100;CARNES E MIUDEZAS, COMESTÍVEIS;02062100 - LÍNGUAS DE BOVINOS CONGELADAS;0;KG
02062200;CARNES E MIUDEZAS, COMESTÍVEIS;02062200 - FÍGADOS DE BOVINOS CONGELADOS;0;KG
02062910;CARNES E MIUDEZAS, COMESTÍVEIS;02062910 - RABOS DE BOVINOS CONGELADOS;0;KG
02062990;CARNES E MIUDEZAS, COMESTÍVEIS;02062990 - OUTRAS MIUDEZAS COMESTÍVEIS., D/BOVINO,CONG.;0;KG
02063000;CARNES E MIUDEZAS, COMESTÍVEIS;02063000 - MIUDEZAS DA ESPÉCIE SUÍNA FRESCAS OU REFR.;0;KG
02064100;CARNES E MIUDEZAS, COMESTÍVEIS;02064100 - FÍGADOS DE SUÍNOS, CONGELADOS;0;KG
02064900;CARNES E MIUDEZAS, COMESTÍVEIS;02064900 - OUTRAS MIUDEZAS DE SUÍNOS, CONGELADAS;0;KG
02068000;CARNES E MIUDEZAS, COMESTÍVEIS;02068000 - OUTRAS MIUDEZAS FRESCAS OU REFRIGERADAS;0;KG
02069000;CARNES E MIUDEZAS, COMESTÍVEIS;02069000 - OUTRAS MIUDEZAS CONGELADAS;0;KG
02071100;CARNES E MIUDEZAS, COMESTÍVEIS;02071100 - CARNES GALOS/GALINHAS,Ñ CORT.,FRESCAS/REFR.;0;KG
02071200;CARNES E MIUDEZAS, COMESTÍVEIS;02071200 - CARNES GALOS/GALINHAS,Ñ CORT.,CONGELADO;0;KG
02071300;CARNES E MIUDEZAS, COMESTÍVEIS;02071300 - PEDAÇOS/MIUDEZ.,D/GALOS/GALINHAS,FRESC,REF.;0;KG
02071400;CARNES E MIUDEZAS, COMESTÍVEIS;02071400 - PEDAÇOS E MIUDEZ.DE GALOS E GALINHAS,CONG.;0;KG
02072400;CARNES E MIUDEZAS, COMESTÍVEIS;02072400 - CARNES DE PERUAS/PERUS, Ñ CORT.,FRES/REFR.;0;KG
02072500;CARNES E MIUDEZAS, COMESTÍVEIS;02072500 - CARNES DE PERUS/AS Ñ CORT.PEDAÇOS, CONG.;0;KG
02072600;CARNES E MIUDEZAS, COMESTÍVEIS;02072600 - CARNES DE PERUAS/US,MIUDEZ.,FRESCOS/REFRIG.;0;KG
02072700;CARNES E MIUDEZAS, COMESTÍVEIS;02072700 - CARNES PEDAÇOS E MIUDEZ.DE PERUS/AS,CONG.;0;KG
02074100;CARNES E MIUDEZAS, COMESTÍVEIS;02074100 - CARNES E MIUDEZAS COMEST.FRESCAS/REFRIG.Ñ CORT.DE PATOS;0;KG
02074200;CARNES E MIUDEZAS, COMESTÍVEIS;02074200 - CARNES E MIUDEZAS COMEST.CONG. Ñ CORT.DE PATOS;0;KG
02074300;CARNES E MIUDEZAS, COMESTÍVEIS;02074300 - FÍGADOS GORDOS (FOIES GRAS), FRESCOS/REFRIG. DE PATOS;0;KG
02074400;CARNES E MIUDEZAS, COMESTÍVEIS;02074400 - OUTRAS CARNES E MIUDEZAS FRESCAS/REFRIG. DE PATOS;0;KG
02074500;CARNES E MIUDEZAS, COMESTÍVEIS;02074500 - OUTRAS CARNES E MIUDEZAS CONGELADAS DE PATOS;0;KG
02075100;CARNES E MIUDEZAS, COMESTÍVEIS;02075100 - CARNES E MIUDEZAS COMEST.FRESCAS/REFRIG.Ñ CORT.DE GANSO;0;KG
02075200;CARNES E MIUDEZAS, COMESTÍVEIS;02075200 - CARNES E MIUDEZAS COMEST.CONG. Ñ CORT.DE GANSOS;0;KG
02075300;CARNES E MIUDEZAS, COMESTÍVEIS;02075300 - FÍGADOS GORDOS (FOIES GRAS), FRESCOS/REFRIG. DE GANSOS;0;KG
02075400;CARNES E MIUDEZAS, COMESTÍVEIS;02075400 - OUTRAS CARNES E MIUDEZAS FRESCAS/REFRIG. DE GANSOS;0;KG
02075500;CARNES E MIUDEZAS, COMESTÍVEIS;02075500 - OUTRAS CARNES E MIUDEZAS CONGELADAS DE GANSOS;0;KG
02076000;CARNES E MIUDEZAS, COMESTÍVEIS;02076000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/GALINAS-D'ANGOLA;0;KG
02081000;CARNES E MIUDEZAS, COMESTÍVEIS;02081000 - CARNES,MIUDEZ.D/COELHO,LEBRE,FR/REFR.CONG.;0;KG
02083000;CARNES E MIUDEZAS, COMESTÍVEIS;02083000 - CARNES,MIUD.COM.D/PRIMATAS FRES.REFR.CONG.;0;KG
02084000;CARNES E MIUDEZAS, COMESTÍVEIS;02084000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/BALEIAS,GOLF.BOT.,;0;KG
02085000;CARNES E MIUDEZAS, COMESTÍVEIS;02085000 - CARN.MIUD.D/RÉPTS,SERP.TART.MAR.FR.REF.CONG.;0;KG
02086000;CARNES E MIUDEZAS, COMESTÍVEIS;02086000 - CARNES,MIUD.COMEST.FRESC.REFR.CONG.D/CAMELOS E OUTROS;0;KG
02089000;CARNES E MIUDEZAS, COMESTÍVEIS;02089000 - OUTRAS CARNES E MIUD.COMEST.FRESCO REFRIG./CONGELADOS;0;KG
02091011;CARNES E MIUDEZAS, COMESTÍVEIS;02091011 - TOUCINHO DE PORCO FRESCO, REFRIGERADO/CONGELADO;0;KG
02091019;CARNES E MIUDEZAS, COMESTÍVEIS;02091019 - TOUCINHO DE PORCO SALGADO,EM SALMOURA,SECO OU DEFUMADO;0;KG
02091021;CARNES E MIUDEZAS, COMESTÍVEIS;02091021 - GORDURA DE PORCO FRESCA REFRIGERADA OU CONGELADA;0;KG
02091029;CARNES E MIUDEZAS, COMESTÍVEIS;02091029 - GORDURA DE PORCO SALGADA OU EM SALMOURA, SECA/DEFUMADA;0;KG
02099000;CARNES E MIUDEZAS, COMESTÍVEIS;02099000 - OUTS.GORD.DE AVES FRESC.REFR.CONG.SALG.SALM.SECOS/DEFUM;0;KG
02101100;CARNES E MIUDEZAS, COMESTÍVEIS;02101100 - PERNAS,PÁS,ETC.Ñ DESOSS.SUÍNOS,SALG.SECAS;0;KG
02101200;CARNES E MIUDEZAS, COMESTÍVEIS;02101200 - BARRIGAS E PEITOS Ñ DESOSS.SUÍNOS,SALG.SECA;0;KG
02101900;CARNES E MIUDEZAS, COMESTÍVEIS;02101900 - OUTS.CARNES SUÍNAS,SALG.SECAS OU DEFUMS.;0;KG
02102000;CARNES E MIUDEZAS, COMESTÍVEIS;02102000 - CARNES BOVINAS,SALGADAS,SECAS OU DEFUMS.;0;KG
02109100;CARNES E MIUDEZAS, COMESTÍVEIS;02109100 - CARN.MIUD,D/PRIM.SAL.SEC.DEF.FAR.D/CARN/MIUD.;0;KG
02109200;CARNES E MIUDEZAS, COMESTÍVEIS;"02109200 - CARNES E MIUD.;FARINH.E PÓS COMEST.D/BALEIAS,GOLF.BOTOS";0;KG
02109300;CARNES E MIUDEZAS, COMESTÍVEIS;02109300 - CARN.MIUD.D/RÉPTEIS,SERP.TAR,DEF.F/CAR.MIUD.;0;KG
02109900;CARNES E MIUDEZAS, COMESTÍVEIS;02109900 - OUTS.CARNES E MIUD.COMEST.FARINH.E PÓS,SALG.OU EM SALM.;0;KG
03011110;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03011110 - ARUANÃ (OSTEOGLOSSUM BICIRRHOSUM);NT;UN
03011190;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03011190 - OUTROS PEIXES VIVOS ORNAMENTAIS DE ÁGUA DOCE;NT;UN
03011900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03011900 - PEIXES VIVOS ORNAMENTAIS DE ÁGUA SALGADA;NT;UN
03019110;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019110 - TRUTAS PARA REPRODUÇÃO;NT;KG
03019190;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019190 - OUTRAS TRUTAS (SALMO TRUTTA ETC.)VIVAS;NT;KG
03019210;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019210 - ENGUIAS PARA REPRODUÇÃO;NT;KG
03019290;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019290 - OUTRAS ENGUIAS (ANGUILLA SPP.) VIVAS;NT;KG
03019310;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019310 - CARPAS PARA REPRODUÇÃO;NT;KG
03019390;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019390 - OUTRAS CARPAS;NT;KG
03019410;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019410 - ATUNS AZUIS PARA REPRODUÇÃO;NT;KG
03019490;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019490 - OUTROS ATUNS AZUIS;NT;KG
03019510;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019510 - ATUNS-DO-SUL (THUNNUS MACCOYII) P/REPRODUÇÃO;NT;KG
03019590;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019590 - OUTS. ATUNS-DO-SUL (THUNNUS MACCOYII) P/REPR.;NT;KG
03019911;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019911 - TILÁPIAS PARA REPRODUÇÃO;NT;KG
03019912;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019912 - ESTURJÕES PARA REPRODUÇÃO;NT;KG
03019919;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019919 - OUTROS PEIXES PARA REPRODUÇÃO;NT;KG
03019991;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019991 - OUTRAS TILÁPIAS VIVAS;NT;KG
03019992;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019992 - OUTROS ESTURJÕES VIVOS;NT;KG
03019999;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03019999 - OUTROS PEIXES VIVOS;NT;KG
03021100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021100 - TRUTAS (SALMO TRUTTA,ETC.) FRESCAS OU REFR.;0;KG
03021300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021300 - SALMÕES-DO PACÍFICO FRESCOS OU REFRIGERADOS;0;KG
03021400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021400 - SALMÃO-DO-ATLÂNTICO E SALMÃO-DO-DANÚBIO FRESC./REFRIGER;0;KG
03021900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03021900 - OUTS.SALMONÍDEOS,FRESCOS OU REFR.,EXC.FILÉS;0;KG
03022100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022100 - LINGUADOS-GIGANTES, FRESC.OU REFRIGERADOS;0;KG
03022200;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022200 - SOLHAS OU PATRUÇAS, FRESCAS OU REFRIG.;0;KG
03022300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022300 - LINGUADOS (SOLEA SPP.), FRESCOS OU REFRIG.;0;KG
03022400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022400 - PREGADO FRESCO OU REFRIGERADO;0;KG
03022900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03022900 - OUTROS PEIXES CHATOS, FRESCOS OU REFRIGERADOS;0;KG
03023100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023100 - ATUNS-BRANCOS OU GERMÕES FRESCOS/REFR.;0;KG
03023200;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023200 - ALBACORAS(THUNNUS ALBACARES), FRES.,REFR.;0;KG
03023300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023300 - BONITO-LISTR/VENTR RAIAD, FRES.,REFR.,EXC.FILÉS;0;KG
03023400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023400 - ALBACORAS-BAND.(THUNN OBESUS)FRESC.REFR.;0;KG
03023500;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023500 - ATUNS AZUIS, FRESCOS OU REFRIGERADO;0;KG
03023600;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023600 - ATUNS DO SUL (THUNNUS MACCOYII) FRESCO/REFR.;0;KG
03023900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03023900 - OUTROS ATUNS FRESCOS OU REFRIGERADOS;0;KG
03024100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024100 - ARANQUES FRESCOS OU REFRIGERADOS;0;KG
03024210;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024210 - ANCHOITA FRESCA OU REFRIGERADA;0;KG
03024290;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024290 - OUTROS ARENQUES FRESCOS OU REFRIGERADOS;0;KG
03024300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024300 - SARDINHAS, ANCHOVETAS FRESCAS OU REFRIGERADAS;0;KG
03024400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024400 - CAVALINHAS FRESCAS OU REFRIGERADAS;0;KG
03024500;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024500 - CHICHARROS FRESCOS OU REFRIGERADOS;0;KG
03024600;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024600 - BIJUPIRÁ FRESCO OU REFRIGERADO;0;KG
03024700;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03024700 - ESPADARTE FRESCO OU REFRIGERADO;0;KG
03024910;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;ESPADINS, MARLINS, VELEIROS (ISTIOPHORIDAE);0;KG
03024990;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;Outros;0;KG
03025100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;"03025100 - BACALHAU-DO-ATLÂNTICO; DA-GROELÂNDIA D/PACÍF.FRESC./REF";0;KG
03025200;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03025200 - HADDOCK OU LUBINA FRESCO OU REFRIGERADO;0;KG
03025300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03025300 - SAITHE (POLLACHIUS VIRENS) FRESCO OU REFRIGERADO;0;KG
03025400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03025400 - MERLUZAS E ABRÓTEAS FRESCAS OU REFRIGERADAS;0;KG
03025500;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03025500 - MERLUZA-DO-ALASCA FRESCA OU REFRIGERADA;0;KG
03025600;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03025600 - VERDINHOS FRESCOS OU REFRIGERADOS;0;KG
03025900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03025900 - OUTROS PEIXES FRESCOS OU REFRIGERADOS;0;KG
03027100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03027100 - TILÁPIAS FRESCAS OU REFRIGERADAS;0;KG
03027210;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03027210 - BAGRE FRESCO OU REFRIGERADO;0;KG
03027290;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03027290 - OUTROS BAGRES FRESCOS OU REFRIGERADOS;0;KG
03027300;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03027300 - CARPAS FRESCAS OU REFRIGERADAS;0;KG
03027400;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03027400 - ENGUIAS FRESCAS OU REFRIGERADAS;0;KG
03027900;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03027900 - OUTROS PEIXES FRESCOS OU REFRIGERADOS;0;KG
03028100;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03028100 - CAÇÃO E OUTROS TUBARÕES FRESCOS OU REFIRGERADOS;0;KG
03028200;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03028200 - RAIAS FRESCAS OU REFRIGERADAS;0;KG
03028310;PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS;03028310 - MERLUZA NEGRA (DISSOSTICHUS ELEGINOIDES);0;KG
