NCM;categoria;descricao;IPI;uTrib
29396929;PRODUTOS QUÍMICOS ORGÂNICOS;29396929 - OUTS.DERIVADOS DA ERGOTAMINA E SEUS SAIS;0;KG
29396931;PRODUTOS QUÍMICOS ORGÂNICOS;29396931 - MESILATO DE DIIDROERGOCORNINA;0;KG
29396939;PRODUTOS QUÍMICOS ORGÂNICOS;29396939 - OUTS.DERIVADOS DA ERGOCORNINA E SEUS SAIS;0;KG
29396941;PRODUTOS QUÍMICOS ORGÂNICOS;29396941 - MESILATO DE ALFA-DIIDROERGOCRIPTINA;0;KG
29396942;PRODUTOS QUÍMICOS ORGÂNICOS;29396942 - MESILATO DE BETA-DIIDROERGOCRIPTINA;0;KG
29396949;PRODUTOS QUÍMICOS ORGÂNICOS;29396949 - OUTS.DERIVADOS DA ERGOCRIPTINA E SEUS SAIS;0;KG
29396951;PRODUTOS QUÍMICOS ORGÂNICOS;29396951 - ERGOCRISTINA;0;KG
29396952;PRODUTOS QUÍMICOS ORGÂNICOS;29396952 - METANOSSULFONATO DE DIIDROERGOCRISTINA;0;KG
29396959;PRODUTOS QUÍMICOS ORGÂNICOS;29396959 - OUTS.DERIVADOS DA ERGOCRISTINA E SEUS SAIS;0;KG
29396990;PRODUTOS QUÍMICOS ORGÂNICOS;29396990 - OUTS.ALCALÓID.D/CRAVAGEM D/CENTEIO,DER.SAIS;0;KG
29397111;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397112;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397119;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397120;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397130;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397140;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397911;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397919;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397920;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397931;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397939;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397940;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29397990;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29398000;PRODUTOS QUÍMICOS ORGÂNICOS;Novo NCM;0;KG
29399111;PRODUTOS QUÍMICOS ORGÂNICOS;29399111 - COCAÍNA E SEUS SAIS;;KG
29399112;PRODUTOS QUÍMICOS ORGÂNICOS;29399112 - ECGONINA E SEUS SAIS;;KG
29399119;PRODUTOS QUÍMICOS ORGÂNICOS;29399119 - OUTROS ÉSTERES E DERIV.DE COCAÍNA / ECGONINA;;KG
29399120;PRODUTOS QUÍMICOS ORGÂNICOS;29399120 - LEVOMETANFETAMINA,SEUS SAIS,ÉSTERES E OUTS.;;KG
29399130;PRODUTOS QUÍMICOS ORGÂNICOS;29399130 - METANFETAMINA,SEUS SAIS,ÉSTERES OUTS.DERIV.;;KG
29399140;PRODUTOS QUÍMICOS ORGÂNICOS;29399140 - RACEMATO D/METANFETAMINA,SAIS,ÉST.OUTS.DER.;;KG
29399911;PRODUTOS QUÍMICOS ORGÂNICOS;29399911 - BROMETO DE N-BUTILESCOPOLAMÔNIO;;KG
29399919;PRODUTOS QUÍMICOS ORGÂNICOS;29399919 - ESCOPOLAMINA OUTS.DERIVS. E SAIS DESTE PROD.;;KG
29399920;PRODUTOS QUÍMICOS ORGÂNICOS;"29399920 - TEOBROMINA E DERIVADOS;SAIS DESTES PRODS.";;KG
29399931;PRODUTOS QUÍMICOS ORGÂNICOS;29399931 - PILOCARPINA, SEU NITRATO E SEU CLORIDRATO;;KG
29399939;PRODUTOS QUÍMICOS ORGÂNICOS;29399939 - OUTROS SAIS DE PILOCARPINA;;KG
29399940;PRODUTOS QUÍMICOS ORGÂNICOS;29399940 - TIOCOLQUICÓSIDO;;KG
29399990;PRODUTOS QUÍMICOS ORGÂNICOS;29399990 - OUTS.ALCALÓIDES NATURAL OU REPROD.P/SÍNTESE;;KG
29400011;PRODUTOS QUÍMICOS ORGÂNICOS;29400011 - GALACTOSE;0;KG
29400012;PRODUTOS QUÍMICOS ORGÂNICOS;29400012 - ARABINOSE;0;KG
29400013;PRODUTOS QUÍMICOS ORGÂNICOS;29400013 - RAMNOSE;0;KG
29400019;PRODUTOS QUÍMICOS ORGÂNICOS;29400019 - OUTROS AÇÚCARES QUIMICAMENTE PUROS;0;KG
29400021;PRODUTOS QUÍMICOS ORGÂNICOS;29400021 - ÁCIDO LACTOBIÔNICO;0;KG
29400022;PRODUTOS QUÍMICOS ORGÂNICOS;29400022 - LACTOBIONATO DE CÁLCIO;0;KG
29400023;PRODUTOS QUÍMICOS ORGÂNICOS;29400023 - BROMOLACTOBIONATO DE CÁLCIO;0;KG
29400029;PRODUTOS QUÍMICOS ORGÂNICOS;29400029 - OUTROS SAIS, ÉSTERES DO ÁCIDO LACTOBIÔNICO;0;KG
29400092;PRODUTOS QUÍMICOS ORGÂNICOS;29400092 - FRUTOSE-1,6-DIFOSFATO DE CÁLCIO OU DE SÓDIO;0;KG
29400093;PRODUTOS QUÍMICOS ORGÂNICOS;29400093 - MALTITOL;0;KG
29400094;PRODUTOS QUÍMICOS ORGÂNICOS;29400094 - LACTOGLUCONATO DE CÁLCIO;0;KG
29400099;PRODUTOS QUÍMICOS ORGÂNICOS;29400099 - OUTROS ÉTERES, ÉSTERES DE AÇÚCAR E SAIS;0;KG
29411010;PRODUTOS QUÍMICOS ORGÂNICOS;29411010 - AMPICILINA E SEUS SAIS;0;KG
29411020;PRODUTOS QUÍMICOS ORGÂNICOS;29411020 - AMOXICILINA E SEUS SAIS;0;KG
29411031;PRODUTOS QUÍMICOS ORGÂNICOS;29411031 - PENICILINA V POTÁSSICA;0;KG
29411039;PRODUTOS QUÍMICOS ORGÂNICOS;29411039 - OUTRAS PENICILINAS V, SAIS E DERIVADOS;0;KG
29411041;PRODUTOS QUÍMICOS ORGÂNICOS;29411041 - PENICILINA G POTÁSSICA;0;KG
29411042;PRODUTOS QUÍMICOS ORGÂNICOS;29411042 - PENICILINA G BENZATÍNICA;0;KG
29411043;PRODUTOS QUÍMICOS ORGÂNICOS;29411043 - PENICILINA G PROCAÍNICA;0;KG
29411049;PRODUTOS QUÍMICOS ORGÂNICOS;29411049 - OUTRAS PENICILINAS G, DERIVADOS E SAIS;0;KG
29411090;PRODUTOS QUÍMICOS ORGÂNICOS;29411090 - OUTS.ANTIBIÓTICOS D/PENICILINA, SAIS, DERIVADOS;0;KG
29412010;PRODUTOS QUÍMICOS ORGÂNICOS;29412010 - SULFATOS DE ESTROPTOMICINA;0;KG
29412090;PRODUTOS QUÍMICOS ORGÂNICOS;29412090 - ESTREPTOMICINAS E OUTROS DERIVADOS E SAIS;0;KG
29413010;PRODUTOS QUÍMICOS ORGÂNICOS;29413010 - CLORIDRATO DE TETRACICLINA;0;KG
29413020;PRODUTOS QUÍMICOS ORGÂNICOS;29413020 - OXITETRACICLINA;0;KG
29413031;PRODUTOS QUÍMICOS ORGÂNICOS;29413031 - MINOCICLINA;0;KG
29413032;PRODUTOS QUÍMICOS ORGÂNICOS;29413032 - SAIS DA MINOCICLINA;0;KG
29413090;PRODUTOS QUÍMICOS ORGÂNICOS;29413090 - OUTRAS TETRACICLINAS, SAIS E DERIVADOS;0;KG
29414011;PRODUTOS QUÍMICOS ORGÂNICOS;29414011 - CLORANFENICOL,PALMITATO,SUCCINATO,HEMISSUC.;0;KG
29414019;PRODUTOS QUÍMICOS ORGÂNICOS;29414019 - OUTROS ÉSTERES DO CLORANFENICOL;0;KG
29414020;PRODUTOS QUÍMICOS ORGÂNICOS;29414020 - TIANFENICOL E SEUS ÉSTERES;0;KG
29414090;PRODUTOS QUÍMICOS ORGÂNICOS;29414090 - OUTROS SAIS E DERIVADOS DO CLORANFENICOL;0;KG
29415010;PRODUTOS QUÍMICOS ORGÂNICOS;29415010 - CLARITROMICINA;0;KG
29415020;PRODUTOS QUÍMICOS ORGÂNICOS;29415020 - ERITROMICINA E SEUS SAIS;0;KG
29415090;PRODUTOS QUÍMICOS ORGÂNICOS;29415090 - OUTROS DERIVADOS DA ERITROMICINA E SEUS SAIS;0;KG
29419011;PRODUTOS QUÍMICOS ORGÂNICOS;29419011 - RIFAMICINA S;0;KG
29419012;PRODUTOS QUÍMICOS ORGÂNICOS;29419012 - RIFAMPICINA (RIFAMICINA AMP);0;KG
29419013;PRODUTOS QUÍMICOS ORGÂNICOS;29419013 - RIFAMICINA SV SÓDICA;0;KG
29419019;PRODUTOS QUÍMICOS ORGÂNICOS;29419019 - OUTRAS RIFAMICINAS, SAIS E DERIVADOS;0;KG
29419021;PRODUTOS QUÍMICOS ORGÂNICOS;29419021 - CLORIDRATO DE LINCOMICINA;0;KG
29419022;PRODUTOS QUÍMICOS ORGÂNICOS;29419022 - FOSFATO DE CLINDAMICINA;0;KG
29419029;PRODUTOS QUÍMICOS ORGÂNICOS;29419029 - OUTROS LINCOMICINA, SEUS DERIVADOS E SAIS;0;KG
29419031;PRODUTOS QUÍMICOS ORGÂNICOS;29419031 - CEFTRIAXONA E SEUS SAIS;0;KG
29419032;PRODUTOS QUÍMICOS ORGÂNICOS;"29419032 - CEFOPERAZONA E SEUS SAIS;CEFAZOLINA SÓDICA";0;KG
29419033;PRODUTOS QUÍMICOS ORGÂNICOS;29419033 - CEFACLOR/CEFALEXINA MONOIDR.CEFALOT.SÓDICA;0;KG
29419034;PRODUTOS QUÍMICOS ORGÂNICOS;29419034 - CEFADROXIL E SEUS SAIS;0;KG
29419035;PRODUTOS QUÍMICOS ORGÂNICOS;29419035 - CEFOTAXIMA SÓDICA;0;KG
29419036;PRODUTOS QUÍMICOS ORGÂNICOS;29419036 - CEFOXITINA E SEUS SAIS;0;KG
29419037;PRODUTOS QUÍMICOS ORGÂNICOS;29419037 - CEFALOSPORINA C;0;KG
29419039;PRODUTOS QUÍMICOS ORGÂNICOS;29419039 - OUTS.CEFALOSPORINAS,CEFAMICINAS,SAIS,DERIV.;0;KG
29419041;PRODUTOS QUÍMICOS ORGÂNICOS;29419041 - SULFATO DE NEOMICINA;0;KG
29419042;PRODUTOS QUÍMICOS ORGÂNICOS;29419042 - EMBONATO D/GENTAMICINA(PAMOATO D/GENTAM.);0;KG
29419043;PRODUTOS QUÍMICOS ORGÂNICOS;29419043 - SULFATO DE GENTAMICINA;0;KG
29419049;PRODUTOS QUÍMICOS ORGÂNICOS;29419049 - OUTROS AMINOGLUCOSÍDIOS E SEUS SAIS;0;KG
29419051;PRODUTOS QUÍMICOS ORGÂNICOS;29419051 - EMBONATO DE ESPIRAMICINA;0;KG
29419059;PRODUTOS QUÍMICOS ORGÂNICOS;29419059 - OUTROS MACROLÍDIOS E SEUS SAIS;0;KG
29419061;PRODUTOS QUÍMICOS ORGÂNICOS;29419061 - NISTATINA E SEUS SAIS;0;KG
29419062;PRODUTOS QUÍMICOS ORGÂNICOS;29419062 - ANFOTERICINA B E SEUS SAIS;0;KG
29419069;PRODUTOS QUÍMICOS ORGÂNICOS;29419069 - OUTROS POLIENOS E SEUS SAIS;0;KG
29419071;PRODUTOS QUÍMICOS ORGÂNICOS;29419071 - MONENSINA SÓDICA;0;KG
29419072;PRODUTOS QUÍMICOS ORGÂNICOS;29419072 - NARASINA;0;KG
29419073;PRODUTOS QUÍMICOS ORGÂNICOS;29419073 - AVILAMICINAS;0;KG
29419079;PRODUTOS QUÍMICOS ORGÂNICOS;29419079 - OUTROS POLIÉTERES E SAIS;0;KG
29419081;PRODUTOS QUÍMICOS ORGÂNICOS;29419081 - POLIMIXINAS E SEUS SAIS;0;KG
29419082;PRODUTOS QUÍMICOS ORGÂNICOS;29419082 - SULFATO DE COLISTINA;0;KG
29419083;PRODUTOS QUÍMICOS ORGÂNICOS;29419083 - VIRGINIAMICINAS E SEUS SAIS;0;KG
29419089;PRODUTOS QUÍMICOS ORGÂNICOS;29419089 - OUTROS POLIPEPTÍDIOS E SAIS;0;KG
29419091;PRODUTOS QUÍMICOS ORGÂNICOS;29419091 - GRISEOFULVINA E SEUS SAIS;0;KG
29419092;PRODUTOS QUÍMICOS ORGÂNICOS;29419092 - FUMARATO DE TIAMULINA;0;KG
29419099;PRODUTOS QUÍMICOS ORGÂNICOS;29419099 - OUTROS ANTIBIÓTICOS;0;KG
29420000;PRODUTOS QUÍMICOS ORGÂNICOS;29420000 - OUTROS COMPOSTOS ORGÂNICOS;0;KG
30012010;PRODUTOS FARMACÊUTICOS;30012010 - EXTRATO DE FÍGADOS;0;KG
30012090;PRODUTOS FARMACÊUTICOS;30012090 - OUTROS EXTRATOS D/GLÂNDULAS,OUTS.ÓRGÃOS;0;KG
30019010;PRODUTOS FARMACÊUTICOS;30019010 - HEPARINA E SEUS SAIS;0;KG
30019020;PRODUTOS FARMACÊUTICOS;30019020 - PEDAÇOS DE PERICÁRDIO D/ORIG.BOVINA OU SUÍNA;0;KG
30019031;PRODUTOS FARMACÊUTICOS;30019031 - FÍGADOS DESSECADOS, MESMO EM PÓ;0;KG
30019039;PRODUTOS FARMACÊUTICOS;30019039 - OUTRAS GLÂNDULAS E ÓRGÃOS, MESMO EM PÓ;0;KG
30019090;PRODUTOS FARMACÊUTICOS;30019090 - OUTS.SUBST.HUM.OU ANIM.P/FINS TERAP.PROF.;0;KG
30021011;PRODUTOS FARMACÊUTICOS;30021011 - SOROS ANTIOFÍDICOS E OUTROS ANTIVENENOSOS;;KG
30021012;PRODUTOS FARMACÊUTICOS;30021012 - SORO ANTITETÂNICO;;KG
30021013;PRODUTOS FARMACÊUTICOS;30021013 - SORO ANTICATARRAL;;KG
30021014;PRODUTOS FARMACÊUTICOS;30021014 - SORO ANTIPIOGÊNICO;;KG
30021015;PRODUTOS FARMACÊUTICOS;30021015 - SORO ANTIDIFTÉRICO;;KG
30021016;PRODUTOS FARMACÊUTICOS;30021016 - SOROS POLIVALENTES;;KG
30021019;PRODUTOS FARMACÊUTICOS;30021019 - OUTS.SOROS ESPEC.DE ANIMAIS,PESSOAS IMUNIZ.;;KG
30021022;PRODUTOS FARMACÊUTICOS;30021022 - IMUNOGLOBULINA ANTI-RH;;KG
30021023;PRODUTOS FARMACÊUTICOS;30021023 - OUTRAS IMUNOGLOBULINAS SÉRICAS;;KG
30021024;PRODUTOS FARMACÊUTICOS;30021024 - CONCENTRADO DE FATOR VIII;;KG
30021025;PRODUTOS FARMACÊUTICOS;30021025 - SOROALBUMINA,EM FORMA D/GEL,P/PREP.D/REAGS.;;KG
30021026;PRODUTOS FARMACÊUTICOS;30021026 - ANTICORPOS MONOCLS.EM SOL. TAMPÃO C/ALB.BOV.;;KG
30021029;PRODUTOS FARMACÊUTICOS;30021029 - OUTROS;;KG
30021031;PRODUTOS FARMACÊUTICOS;30021031 - SOROALBUMINA EXCETO A HUMANA;;KG
30021032;PRODUTOS FARMACÊUTICOS;30021032 - PLASMINA (FIBRINOLISINA);;KG
30021033;PRODUTOS FARMACÊUTICOS;30021033 - UROQUINASE;;KG
30021034;PRODUTOS FARMACÊUTICOS;30021034 - IMUNOGLOBULINA E CLORIDRATO DE HISTAM.ASSOC.;;KG
30021035;PRODUTOS FARMACÊUTICOS;30021035 - IMUNOGLOBULINA G, LIOFILIZADA OU EM SOLUÇÃO;;KG
30021036;PRODUTOS FARMACÊUTICOS;"30021036 - INTERFERON BETA; PEG INTERFERON ALFA-2-A";;KG
30021037;PRODUTOS FARMACÊUTICOS;30021037 - SOROALBUMINA HUMANA;;KG
30021038;PRODUTOS FARMACÊUTICOS;"30021038 - BASILIXIMAB(DCI); BEVACIZUMAB(DCI); DACLIZUMAB(DCI);...";;KG
30021039;PRODUTOS FARMACÊUTICOS;30021039 - OUTROS;;KG
30021100;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021211;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021212;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021213;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021214;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021215;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021216;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021219;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021221;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021222;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021223;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021224;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021229;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021231;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021232;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021233;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021234;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021235;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021236;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021239;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021300;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021410;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021490;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021510;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021520;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021590;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30021900;PRODUTOS FARMACÊUTICOS;Novo NCM;0;KG
30022011;PRODUTOS FARMACÊUTICOS;30022011 - VACINAS P/GRIPE, Ñ/DOSES, Ñ VENDA A RETALHO;0;KG
30022012;PRODUTOS FARMACÊUTICOS;30022012 - VACINAS P/POLIOMIEL.Ñ DOSES,Ñ VENDA RETALHO;0;KG
30022013;PRODUTOS FARMACÊUTICOS;30022013 - VACINAS P/HEPATITE B Ñ DOSES,Ñ VENDA RETALHO;0;KG
30022014;PRODUTOS FARMACÊUTICOS;30022014 - VACINAS P/SARAMPO, Ñ DOSES,Ñ VENDA RETALHO;0;KG
30022015;PRODUTOS FARMACÊUTICOS;30022015 - VACINAS P/MENINGITE Ñ DOSES,Ñ VENDA RETALHO;0;KG
